,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[World_oil_prod],0.0,0.006,-0.01,0.01,0.0,0.0,1490.0,1456.0,1.0
intercept[Real_price_oil],0.007,0.024,-0.037,0.055,0.0,0.001,3665.0,1545.0,1.0
intercept[glob_eco_act],0.002,0.005,-0.006,0.012,0.0,0.0,1092.0,1318.0,1.0
intercept[usdinr],0.008,0.008,-0.006,0.023,0.0,0.0,1993.0,1577.0,1.0
intercept[usdyen],0.005,0.009,-0.011,0.022,0.0,0.0,2213.0,1715.0,1.0
intercept[usdyuan],0.01,0.004,0.002,0.018,0.0,0.0,1073.0,1382.0,1.0
intercept[wui],0.002,0.041,-0.074,0.08,0.001,0.001,3924.0,1194.0,1.0
intercept[china_gdp],0.02,0.007,0.007,0.033,0.0,0.0,1557.0,1632.0,1.0
intercept[india_gdp],0.013,0.009,-0.004,0.029,0.0,0.0,1677.0,1635.0,1.0
intercept[japan_gdp],-0.001,0.01,-0.019,0.017,0.0,0.0,2470.0,1698.0,1.0
"lag_coefs[-1, World_oil_prod, World_oil_prod]",0.004,0.089,-0.17,0.166,0.001,0.002,3769.0,1438.0,1.0
"lag_coefs[-1, World_oil_prod, Real_price_oil]",0.003,0.015,-0.023,0.032,0.0,0.0,2855.0,1484.0,1.0
"lag_coefs[-1, World_oil_prod, glob_eco_act]",0.074,0.089,-0.086,0.256,0.001,0.001,3953.0,1576.0,1.0
"lag_coefs[-1, World_oil_prod, usdinr]",0.033,0.074,-0.097,0.181,0.001,0.001,3115.0,1756.0,1.0
"lag_coefs[-1, World_oil_prod, usdyen]",-0.021,0.075,-0.168,0.112,0.001,0.002,2538.0,1432.0,1.0
"lag_coefs[-1, World_oil_prod, usdyuan]",-0.028,0.096,-0.218,0.145,0.002,0.003,3456.0,1153.0,1.01
"lag_coefs[-1, World_oil_prod, wui]",-0.004,0.007,-0.017,0.01,0.0,0.0,3605.0,1724.0,1.0
"lag_coefs[-1, World_oil_prod, china_gdp]",0.011,0.039,-0.063,0.085,0.001,0.001,1280.0,1319.0,1.0
"lag_coefs[-1, World_oil_prod, india_gdp]",-0.017,0.06,-0.121,0.105,0.001,0.001,3253.0,1384.0,1.0
"lag_coefs[-1, World_oil_prod, japan_gdp]",-0.023,0.061,-0.138,0.09,0.001,0.001,2977.0,1519.0,1.0
"lag_coefs[-1, Real_price_oil, World_oil_prod]",0.0,0.099,-0.175,0.185,0.001,0.003,4893.0,1498.0,1.0
"lag_coefs[-1, Real_price_oil, Real_price_oil]",0.063,0.079,-0.085,0.213,0.001,0.001,4870.0,1559.0,1.0
"lag_coefs[-1, Real_price_oil, glob_eco_act]",0.009,0.099,-0.191,0.182,0.002,0.003,4243.0,1190.0,1.0
"lag_coefs[-1, Real_price_oil, usdinr]",-0.03,0.102,-0.218,0.17,0.001,0.003,4644.0,1063.0,1.0
"lag_coefs[-1, Real_price_oil, usdyen]",-0.031,0.093,-0.206,0.139,0.001,0.002,4104.0,1251.0,1.0
"lag_coefs[-1, Real_price_oil, usdyuan]",0.002,0.1,-0.175,0.215,0.002,0.003,4397.0,1162.0,1.0
"lag_coefs[-1, Real_price_oil, wui]",0.038,0.063,-0.085,0.151,0.001,0.001,3886.0,1207.0,1.0
"lag_coefs[-1, Real_price_oil, china_gdp]",-0.065,0.093,-0.252,0.102,0.002,0.002,3339.0,1357.0,1.0
"lag_coefs[-1, Real_price_oil, india_gdp]",0.045,0.102,-0.142,0.233,0.001,0.002,5028.0,1556.0,1.0
"lag_coefs[-1, Real_price_oil, japan_gdp]",0.03,0.097,-0.147,0.211,0.001,0.002,4378.0,1325.0,1.0
"lag_coefs[-1, glob_eco_act, World_oil_prod]",0.007,0.075,-0.139,0.14,0.001,0.002,3203.0,1487.0,1.0
"lag_coefs[-1, glob_eco_act, Real_price_oil]",0.034,0.011,0.013,0.054,0.0,0.0,2771.0,1753.0,1.0
"lag_coefs[-1, glob_eco_act, glob_eco_act]",0.199,0.095,0.013,0.372,0.002,0.001,2357.0,1436.0,1.0
"lag_coefs[-1, glob_eco_act, usdinr]",-0.003,0.062,-0.118,0.111,0.001,0.001,2421.0,1460.0,1.0
"lag_coefs[-1, glob_eco_act, usdyen]",0.079,0.067,-0.04,0.212,0.001,0.001,2630.0,1576.0,1.0
"lag_coefs[-1, glob_eco_act, usdyuan]",0.023,0.089,-0.145,0.189,0.002,0.002,3307.0,1656.0,1.0
"lag_coefs[-1, glob_eco_act, wui]",0.0,0.005,-0.009,0.01,0.0,0.0,2741.0,1527.0,1.0
"lag_coefs[-1, glob_eco_act, china_gdp]",-0.019,0.034,-0.08,0.046,0.001,0.001,1047.0,1548.0,1.0
"lag_coefs[-1, glob_eco_act, india_gdp]",0.094,0.05,0.004,0.194,0.001,0.001,3222.0,1565.0,1.01
"lag_coefs[-1, glob_eco_act, japan_gdp]",0.038,0.053,-0.059,0.141,0.001,0.001,2940.0,1632.0,1.0
"lag_coefs[-1, usdinr, World_oil_prod]",-0.015,0.094,-0.183,0.167,0.001,0.002,4194.0,1376.0,1.0
"lag_coefs[-1, usdinr, Real_price_oil]",-0.011,0.03,-0.068,0.042,0.001,0.001,3326.0,1483.0,1.0
"lag_coefs[-1, usdinr, glob_eco_act]",-0.037,0.097,-0.213,0.146,0.001,0.002,4165.0,1361.0,1.0
