,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[World_oil_prod],0.002,0.002,-0.002,0.007,0.0,0.0,2710.0,1383.0,1.0
intercept[Real_price_oil],0.009,0.024,-0.033,0.055,0.0,0.001,4093.0,1410.0,1.0
intercept[glob_eco_act],0.002,0.002,-0.001,0.005,0.0,0.0,3308.0,1860.0,1.0
intercept[usdinr],0.005,0.005,-0.004,0.014,0.0,0.0,3289.0,1588.0,1.0
intercept[usdyen],-0.001,0.006,-0.011,0.011,0.0,0.0,3504.0,1479.0,1.0
intercept[usdyuan],-0.002,0.002,-0.005,0.001,0.0,0.0,3117.0,1448.0,1.0
intercept[wui],0.003,0.04,-0.075,0.074,0.001,0.001,3984.0,1335.0,1.0
"lag_coefs[-1, World_oil_prod, World_oil_prod]",0.007,0.087,-0.152,0.179,0.001,0.002,3539.0,1703.0,1.0
"lag_coefs[-1, World_oil_prod, Real_price_oil]",0.003,0.013,-0.021,0.027,0.0,0.0,2883.0,1478.0,1.0
"lag_coefs[-1, World_oil_prod, glob_eco_act]",0.085,0.093,-0.088,0.261,0.001,0.001,4213.0,1541.0,1.0
"lag_coefs[-1, World_oil_prod, usdinr]",0.021,0.054,-0.081,0.125,0.001,0.001,3799.0,1219.0,1.0
"lag_coefs[-1, World_oil_prod, usdyen]",-0.006,0.046,-0.086,0.084,0.001,0.001,2519.0,1468.0,1.0
"lag_coefs[-1, World_oil_prod, usdyuan]",-0.039,0.092,-0.226,0.127,0.001,0.002,4058.0,1491.0,1.0
"lag_coefs[-1, World_oil_prod, wui]",-0.004,0.007,-0.016,0.008,0.0,0.0,3252.0,1595.0,1.0
"lag_coefs[-1, Real_price_oil, World_oil_prod]",-0.0,0.1,-0.197,0.175,0.001,0.003,4620.0,1394.0,1.0
"lag_coefs[-1, Real_price_oil, Real_price_oil]",0.064,0.082,-0.087,0.213,0.001,0.002,5251.0,1469.0,1.0
"lag_coefs[-1, Real_price_oil, glob_eco_act]",0.007,0.095,-0.163,0.197,0.001,0.002,5185.0,1443.0,1.0
"lag_coefs[-1, Real_price_oil, usdinr]",-0.035,0.096,-0.215,0.142,0.001,0.002,4369.0,1554.0,1.0
"lag_coefs[-1, Real_price_oil, usdyen]",-0.031,0.097,-0.217,0.149,0.001,0.002,4756.0,1445.0,1.0
"lag_coefs[-1, Real_price_oil, usdyuan]",0.003,0.104,-0.189,0.193,0.001,0.003,5741.0,1335.0,1.0
"lag_coefs[-1, Real_price_oil, wui]",0.039,0.063,-0.086,0.152,0.001,0.001,4701.0,1274.0,1.0
"lag_coefs[-1, glob_eco_act, World_oil_prod]",0.005,0.075,-0.136,0.142,0.001,0.002,4005.0,1442.0,1.0
"lag_coefs[-1, glob_eco_act, Real_price_oil]",0.03,0.01,0.011,0.048,0.0,0.0,3173.0,1581.0,1.0
"lag_coefs[-1, glob_eco_act, glob_eco_act]",0.227,0.09,0.06,0.397,0.002,0.001,3020.0,1694.0,1.0
"lag_coefs[-1, glob_eco_act, usdinr]",-0.091,0.043,-0.171,-0.008,0.001,0.001,3310.0,1265.0,1.0
"lag_coefs[-1, glob_eco_act, usdyen]",0.038,0.037,-0.034,0.105,0.001,0.001,3187.0,1646.0,1.0
"lag_coefs[-1, glob_eco_act, usdyuan]",0.04,0.09,-0.133,0.21,0.002,0.002,3055.0,1386.0,1.0
"lag_coefs[-1, glob_eco_act, wui]",-0.001,0.005,-0.01,0.008,0.0,0.0,3293.0,1738.0,1.0
"lag_coefs[-1, usdinr, World_oil_prod]",-0.017,0.1,-0.218,0.163,0.002,0.003,4211.0,993.0,1.0
