,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[World_oil_prod],0.001,0.005,-0.009,0.009,0.0,0.0,465.0,728.0,1.01
intercept[Real_price_oil],0.008,0.025,-0.04,0.053,0.001,0.0,2090.0,1528.0,1.0
intercept[glob_eco_act],0.005,0.004,-0.003,0.013,0.0,0.0,442.0,667.0,1.0
intercept[usdyuan],0.009,0.004,0.002,0.017,0.0,0.0,471.0,756.0,1.0
intercept[wui],0.001,0.04,-0.075,0.075,0.001,0.001,2355.0,1388.0,1.0
intercept[china_gdp],0.025,0.007,0.012,0.038,0.0,0.0,814.0,1215.0,1.0
"lag_coefs[-1, World_oil_prod, World_oil_prod]",-0.007,0.082,-0.163,0.147,0.002,0.002,2520.0,1424.0,1.0
"lag_coefs[-1, World_oil_prod, Real_price_oil]",0.007,0.012,-0.016,0.03,0.0,0.0,1474.0,1486.0,1.0
"lag_coefs[-1, World_oil_prod, glob_eco_act]",0.074,0.089,-0.095,0.238,0.002,0.001,2260.0,1754.0,1.0
"lag_coefs[-1, World_oil_prod, usdyuan]",-0.03,0.094,-0.196,0.154,0.002,0.002,2043.0,1283.0,1.0
"lag_coefs[-1, World_oil_prod, wui]",-0.004,0.006,-0.018,0.006,0.0,0.0,1656.0,1231.0,1.0
"lag_coefs[-1, World_oil_prod, china_gdp]",0.007,0.035,-0.058,0.071,0.002,0.001,493.0,855.0,1.01
"lag_coefs[-1, Real_price_oil, World_oil_prod]",-0.001,0.1,-0.189,0.182,0.002,0.002,3063.0,1497.0,1.0
"lag_coefs[-1, Real_price_oil, Real_price_oil]",0.066,0.085,-0.103,0.213,0.002,0.001,2529.0,1395.0,1.0
"lag_coefs[-1, Real_price_oil, glob_eco_act]",0.01,0.095,-0.167,0.186,0.002,0.002,2749.0,1455.0,1.0
"lag_coefs[-1, Real_price_oil, usdyuan]",0.003,0.103,-0.182,0.198,0.002,0.002,2868.0,1426.0,1.0
"lag_coefs[-1, Real_price_oil, wui]",0.037,0.064,-0.077,0.16,0.001,0.001,2454.0,1434.0,1.0
"lag_coefs[-1, Real_price_oil, china_gdp]",-0.064,0.092,-0.214,0.134,0.002,0.002,2479.0,1551.0,1.0
"lag_coefs[-1, glob_eco_act, World_oil_prod]",-0.001,0.076,-0.139,0.14,0.002,0.001,2444.0,1768.0,1.0
"lag_coefs[-1, glob_eco_act, Real_price_oil]",0.036,0.01,0.016,0.054,0.0,0.0,1094.0,1424.0,1.0
"lag_coefs[-1, glob_eco_act, glob_eco_act]",0.256,0.091,0.071,0.413,0.002,0.002,1499.0,1628.0,1.0
"lag_coefs[-1, glob_eco_act, usdyuan]",0.035,0.089,-0.127,0.204,0.002,0.002,1826.0,1636.0,1.0
"lag_coefs[-1, glob_eco_act, wui]",0.001,0.005,-0.009,0.01,0.0,0.0,2149.0,1487.0,1.0
"lag_coefs[-1, glob_eco_act, china_gdp]",-0.019,0.033,-0.078,0.04,0.002,0.001,448.0,624.0,1.0
"lag_coefs[-1, usdyuan, World_oil_prod]",0.013,0.072,-0.126,0.145,0.001,0.001,2458.0,1560.0,1.0
"lag_coefs[-1, usdyuan, Real_price_oil]",-0.001,0.009,-0.019,0.015,0.0,0.0,1343.0,1271.0,1.0
"lag_coefs[-1, usdyuan, glob_eco_act]",-0.039,0.083,-0.198,0.108,0.002,0.002,2285.0,1637.0,1.0
"lag_coefs[-1, usdyuan, usdyuan]",0.051,0.088,-0.107,0.219,0.002,0.002,1849.0,1537.0,1.0
"lag_coefs[-1, usdyuan, wui]",0.001,0.004,-0.007,0.009,0.0,0.0,1960.0,1714.0,1.0
"lag_coefs[-1, usdyuan, china_gdp]",-0.087,0.03,-0.143,-0.031,0.001,0.001,445.0,674.0,1.0
"lag_coefs[-1, wui, World_oil_prod]",0.0,0.097,-0.183,0.185,0.002,0.002,2178.0,1414.0,1.0
"lag_coefs[-1, wui, Real_price_oil]",-0.033,0.091,-0.199,0.142,0.002,0.002,2626.0,1400.0,1.0
"lag_coefs[-1, wui, glob_eco_act]",-0.001,0.103,-0.201,0.186,0.002,0.003,3227.0,1133.0,1.0
"lag_coefs[-1, wui, usdyuan]",-0.002,0.102,-0.202,0.174,0.002,0.002,2718.0,1614.0,1.0
"lag_coefs[-1, wui, wui]",-0.103,0.085,-0.253,0.068,0.002,0.001,2434.0,1223.0,1.0
"lag_coefs[-1, wui, china_gdp]",0.015,0.098,-0.162,0.205,0.002,0.002,2611.0,1509.0,1.0
"lag_coefs[-1, china_gdp, World_oil_prod]",-0.023,0.096,-0.206,0.151,0.002,0.002,2632.0,1529.0,1.0
"lag_coefs[-1, china_gdp, Real_price_oil]",0.077,0.024,0.032,0.121,0.001,0.0,1768.0,1195.0,1.0
"lag_coefs[-1, china_gdp, glob_eco_act]",0.041,0.097,-0.13,0.236,0.002,0.002,2650.0,1515.0,1.0
"lag_coefs[-1, china_gdp, usdyuan]",-0.021,0.096,-0.205,0.154,0.002,0.002,3419.0,1529.0,1.0
"lag_coefs[-1, china_gdp, wui]",0.007,0.013,-0.015,0.033,0.0,0.0,1720.0,1259.0,1.0
"lag_coefs[-1, china_gdp, china_gdp]",-0.185,0.05,-0.279,-0.091,0.002,0.001,971.0,1200.0,1.0
"lag_coefs[-2, World_oil_prod, World_oil_prod]",-0.007,0.083,-0.168,0.14,0.002,0.002,2145.0,1600.0,1.0
"lag_coefs[-2, World_oil_prod, Real_price_oil]",-0.01,0.013,-0.039,0.013,0.0,0.0,1311.0,1343.0,1.0
