,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[World_oil_prod],0.002,0.003,-0.004,0.007,0.0,0.0,1680.0,1396.0,1.0
intercept[Real_price_oil],0.007,0.024,-0.042,0.048,0.0,0.001,3772.0,1391.0,1.0
intercept[glob_eco_act],-0.002,0.003,-0.008,0.002,0.0,0.0,1529.0,1595.0,1.0
intercept[usdinr],0.009,0.005,-0.001,0.018,0.0,0.0,2975.0,1502.0,1.0
intercept[wui],0.003,0.04,-0.078,0.076,0.001,0.001,4259.0,1155.0,1.0
intercept[india_gdp],0.012,0.007,0.0,0.025,0.0,0.0,3271.0,1726.0,1.0
"lag_coefs[-1, World_oil_prod, World_oil_prod]",0.0,0.079,-0.152,0.148,0.001,0.002,4063.0,1649.0,1.0
"lag_coefs[-1, World_oil_prod, Real_price_oil]",0.002,0.012,-0.021,0.026,0.0,0.0,4229.0,1608.0,1.0
"lag_coefs[-1, World_oil_prod, glob_eco_act]",0.086,0.09,-0.079,0.251,0.001,0.002,4348.0,1467.0,1.0
"lag_coefs[-1, World_oil_prod, usdinr]",0.021,0.07,-0.105,0.151,0.001,0.001,2478.0,1500.0,1.0
"lag_coefs[-1, World_oil_prod, wui]",-0.005,0.006,-0.017,0.007,0.0,0.0,3182.0,1589.0,1.0
"lag_coefs[-1, World_oil_prod, india_gdp]",-0.01,0.055,-0.113,0.095,0.001,0.001,2622.0,1657.0,1.0
"lag_coefs[-1, Real_price_oil, World_oil_prod]",-0.001,0.103,-0.192,0.189,0.001,0.003,4997.0,1425.0,1.0
"lag_coefs[-1, Real_price_oil, Real_price_oil]",0.061,0.079,-0.082,0.205,0.001,0.001,4684.0,1242.0,1.0
"lag_coefs[-1, Real_price_oil, glob_eco_act]",0.009,0.101,-0.191,0.193,0.001,0.003,6047.0,1519.0,1.0
"lag_coefs[-1, Real_price_oil, usdinr]",-0.034,0.104,-0.219,0.171,0.002,0.002,2994.0,1473.0,1.0
