,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[World_oil_prod],0.002,0.002,-0.002,0.006,0.0,0.0,3328.0,1283.0,1.0
intercept[Real_price_oil],0.007,0.025,-0.042,0.05,0.0,0.001,4161.0,1602.0,1.0
intercept[glob_eco_act],0.001,0.002,-0.002,0.004,0.0,0.0,3236.0,1458.0,1.0
intercept[usdyen],-0.0,0.005,-0.01,0.01,0.0,0.0,3977.0,1317.0,1.01
intercept[wui],0.003,0.04,-0.07,0.078,0.001,0.001,5448.0,1444.0,1.0
intercept[japan_gdp],0.002,0.007,-0.01,0.014,0.0,0.0,4143.0,1691.0,1.0
"lag_coefs[-1, World_oil_prod, World_oil_prod]",0.004,0.082,-0.14,0.168,0.001,0.002,3820.0,1815.0,1.0
"lag_coefs[-1, World_oil_prod, Real_price_oil]",0.002,0.012,-0.021,0.024,0.0,0.0,3484.0,1793.0,1.0
"lag_coefs[-1, World_oil_prod, glob_eco_act]",0.077,0.09,-0.089,0.24,0.002,0.002,3074.0,1543.0,1.0
"lag_coefs[-1, World_oil_prod, usdyen]",-0.016,0.071,-0.15,0.121,0.001,0.002,2400.0,1779.0,1.0
"lag_coefs[-1, World_oil_prod, wui]",-0.005,0.007,-0.016,0.009,0.0,0.0,3246.0,1409.0,1.0
"lag_coefs[-1, World_oil_prod, japan_gdp]",-0.023,0.058,-0.128,0.085,0.001,0.001,2223.0,1619.0,1.0
"lag_coefs[-1, Real_price_oil, World_oil_prod]",-0.0,0.101,-0.189,0.185,0.001,0.003,5069.0,1608.0,1.0
"lag_coefs[-1, Real_price_oil, Real_price_oil]",0.064,0.081,-0.076,0.226,0.001,0.002,4396.0,1170.0,1.0
"lag_coefs[-1, Real_price_oil, glob_eco_act]",0.009,0.099,-0.186,0.183,0.001,0.002,4689.0,1536.0,1.0
"lag_coefs[-1, Real_price_oil, usdyen]",-0.028,0.103,-0.211,0.169,0.001,0.002,6149.0,1729.0,1.0
"lag_coefs[-1, Real_price_oil, wui]",0.037,0.063,-0.077,0.157,0.001,0.001,5352.0,1377.0,1.0
"lag_coefs[-1, Real_price_oil, japan_gdp]",0.029,0.098,-0.157,0.209,0.002,0.002,3871.0,1320.0,1.0
"lag_coefs[-1, glob_eco_act, World_oil_prod]",0.018,0.081,-0.127,0.17,0.001,0.002,3187.0,1515.0,1.0
"lag_coefs[-1, glob_eco_act, Real_price_oil]",0.031,0.01,0.012,0.048,0.0,0.0,2503.0,1749.0,1.0
"lag_coefs[-1, glob_eco_act, glob_eco_act]",0.269,0.094,0.084,0.439,0.002,0.001,2125.0,1647.0,1.0
"lag_coefs[-1, glob_eco_act, usdyen]",0.071,0.066,-0.047,0.2,0.002,0.001,1896.0,1347.0,1.0
"lag_coefs[-1, glob_eco_act, wui]",0.0,0.005,-0.009,0.01,0.0,0.0,3001.0,1542.0,1.0
"lag_coefs[-1, glob_eco_act, japan_gdp]",0.047,0.054,-0.052,0.151,0.001,0.001,1846.0,1484.0,1.0
"lag_coefs[-1, usdyen, World_oil_prod]",0.025,0.103,-0.161,0.217,0.002,0.003,4222.0,1344.0,1.0
"lag_coefs[-1, usdyen, Real_price_oil]",-0.009,0.032,-0.067,0.053,0.001,0.001,3869.0,1836.0,1.0
"lag_coefs[-1, usdyen, glob_eco_act]",0.025,0.096,-0.145,0.211,0.001,0.003,5063.0,1236.0,1.0
"lag_coefs[-1, usdyen, usdyen]",0.09,0.087,-0.083,0.243,0.001,0.001,3467.0,1486.0,1.0
"lag_coefs[-1, usdyen, wui]",0.028,0.018,-0.005,0.061,0.0,0.0,3881.0,1607.0,1.0
"lag_coefs[-1, usdyen, japan_gdp]",-0.154,0.082,-0.315,-0.007,0.002,0.001,2766.0,1206.0,1.0
"lag_coefs[-1, wui, World_oil_prod]",0.005,0.095,-0.168,0.182,0.001,0.002,5104.0,1505.0,1.0
"lag_coefs[-1, wui, Real_price_oil]",-0.033,0.09,-0.198,0.133,0.001,0.002,5067.0,1513.0,1.0
"lag_coefs[-1, wui, glob_eco_act]",-0.001,0.101,-0.181,0.182,0.002,0.003,4138.0,1354.0,1.0
